epoch,train_loss,train_accuracy,val_loss,val_accuracy_fixed_0_5,val_balanced_accuracy,val_f1,val_sensitivity,val_specificity,val_auroc,threshold,predicted_positive_rate,lr,peak_vram_gib,process_ram_gib,seconds
1,1.594610197673319,0.4921875,1.0681352520530873,0.20454545454545456,0.584920634920635,0.7107438016528925,0.6142857142857143,0.5555555555555556,0.6134920634920635,0.26999999999999996,0.5795454545454546,3.3333333333333335e-05,1.0234375,0.2908172607421875,66.58790060000001
2,1.1083595688687637,0.4921875,1.0875936313108965,0.20454545454545456,0.6333333333333333,0.711864406779661,0.6,0.6666666666666666,0.7,0.25999999999999995,0.5454545454545454,6.666666666666667e-05,0.548828125,0.19376373291015625,59.93537130000004
3,0.9951528441160917,0.484375,0.5205079662528905,0.7954545454545454,0.5650793650793651,0.30952380952380953,0.18571428571428572,0.9444444444444444,0.5642857142857143,0.73,0.1590909090909091,0.0001,0.548828125,0.1776123046875,59.36146279999957
4,0.796344886533916,0.5703125,0.6730967949737202,0.6477272727272727,0.5880952380952381,0.4948453608247422,0.34285714285714286,0.8333333333333334,0.5555555555555556,0.5299999999999999,0.3068181818181818,0.0001,0.548828125,0.16193008422851562,59.659911900000225
5,0.8216221863403916,0.53125,0.7585654922507026,0.2159090909090909,0.5722222222222222,0.3294117647058824,0.2,0.9444444444444444,0.5694444444444444,0.4599999999999999,0.17045454545454544,0.0001,0.548828125,0.16595840454101562,59.72747319999962
6,0.6920513957738876,0.6171875,0.7347604225982319,0.2840909090909091,0.6365079365079365,0.4893617021276595,0.32857142857142857,0.9444444444444444,0.6551587301587302,0.4699999999999999,0.2727272727272727,0.0001,0.548828125,0.1656951904296875,59.83033669999986
7,0.7149855266325176,0.5703125,0.7258086868307807,0.32954545454545453,0.6285714285714286,0.40909090909090906,0.2571428571428571,1.0,0.6,0.48999999999999994,0.20454545454545456,0.0001,0.548828125,0.17074966430664062,59.56735380000009
8,0.7474909471347928,0.5,0.7441045601259578,0.29545454545454547,0.6095238095238096,0.5399999999999999,0.38571428571428573,0.8333333333333334,0.6095238095238096,0.4699999999999999,0.3409090909090909,0.0001,0.548828125,0.1685943603515625,56.335722599999826
9,0.6914074243977666,0.5703125,0.6926880316300825,0.5113636363636364,0.6579365079365079,0.5360824742268041,0.37142857142857144,0.9444444444444444,0.6123015873015873,0.5199999999999999,0.3068181818181818,0.0001,0.548828125,0.16915512084960938,57.07144739999967
10,0.698072861880064,0.5625,0.6368672888387333,0.7840909090909091,0.6365079365079365,0.4893617021276595,0.32857142857142857,0.9444444444444444,0.6059523809523809,0.57,0.2727272727272727,0.0001,0.548828125,0.16983413696289062,55.1523717
