epoch,train_loss,train_accuracy,val_loss,val_accuracy_fixed_0_5,val_balanced_accuracy,val_f1,val_sensitivity,val_specificity,val_auroc,val_average_precision,threshold,lr,peak_vram_gib,process_ram_gib,seconds
1,1.1172482557594776,0.625,0.8837462578179701,0.3018867924528302,0.5720766129032258,0.6538461538461537,0.53125,0.6129032258064516,0.5544354838709677,0.8464426551824609,0.41999999999999993,3.3333333333333335e-05,1.0234375,0.16312026977539062,129.29475220001768
2,1.5306550655514002,0.625,0.7487177172980313,0.8050314465408805,0.5,0.89198606271777,1.0,0.0,0.6236139112903227,0.8668246777650841,0.49999999999999994,6.666666666666667e-05,0.564453125,0.14182662963867188,108.16922559999512
3,2.8450508005917072,0.375,0.9906215464743147,0.8050314465408805,0.5,0.89198606271777,1.0,0.0,0.6276461693548387,0.8632807257488477,0.49999999999999994,0.0001,0.564453125,0.1397705078125,120.14891059999354
