epoch,train_loss,train_accuracy,val_loss,val_accuracy_fixed_0_5,val_balanced_accuracy,val_f1,val_sensitivity,val_specificity,val_auroc,val_average_precision,threshold,lr,peak_vram_gib,process_ram_gib,seconds
1,2.7916866367013426,0.40625,1.5964345362535708,0.19745222929936307,0.5734767025089605,0.8582375478927203,0.8888888888888888,0.25806451612903225,0.5821812596006144,0.8259652031323887,0.12,3.3333333333333335e-05,0.548828125,0.19148635864257812,43.39176950001274
2,1.8554572630673647,0.375,0.5719848780115698,0.802547770700637,0.5899897593445981,0.4942528735632184,0.3412698412698413,0.8387096774193549,0.59715821812596,0.8739021997376855,0.63,6.666666666666667e-05,0.548828125,0.155364990234375,42.17825249998714
3,1.3656641184352338,0.4375,0.49568619488910504,0.802547770700637,0.6108550947260625,0.4025157232704402,0.25396825396825395,0.967741935483871,0.6098310291858678,0.8837219607262097,0.7699999999999999,0.0001,0.548828125,0.15380096435546875,40.84054020000622
4,1.640410726889968,0.375,0.9633298330246263,0.19745222929936307,0.5949820788530467,0.36129032258064514,0.2222222222222222,0.967741935483871,0.6132872503840245,0.8711254888817193,0.36999999999999994,0.0001,0.548828125,0.15516281127929688,39.24496410001302
5,1.1222854848019779,0.5,0.48239480566446946,0.802547770700637,0.6426011264720942,0.4790419161676646,0.31746031746031744,0.967741935483871,0.675115207373272,0.9033100804614386,0.8499999999999999,0.0001,0.548828125,0.14356613159179688,43.866710500005865
6,1.1446331031620502,0.5625,0.9819576482104647,0.19745222929936307,0.6388888888888888,0.4347826086956522,0.2777777777777778,1.0,0.6522017409114184,0.9000629753746114,0.33999999999999997,0.0001,0.548828125,0.1436004638671875,46.97230039999704
7,0.8766929316334426,0.5625,0.6138192024200585,0.7834394904458599,0.6251920122887864,0.6217616580310881,0.47619047619047616,0.7741935483870968,0.6612903225806452,0.8988572223685254,0.5599999999999999,0.0001,0.548828125,0.137176513671875,53.90521369999624
8,0.7980814622715116,0.53125,0.7272014450875057,0.3821656050955414,0.5785970302099335,0.3975155279503106,0.25396825396825395,0.9032258064516129,0.5783410138248848,0.8597775227046468,0.49999999999999994,0.0001,0.548828125,0.12826919555664062,56.79002559999935
9,1.0941504500806332,0.25,0.7950918010086011,0.25477707006369427,0.5704045058883769,0.4146341463414634,0.2698412698412698,0.8709677419354839,0.5572196620583717,0.8431610086663972,0.4499999999999999,5e-05,0.548828125,0.13421630859375,47.86989229999017
10,0.6443694904446602,0.6875,0.6933451621395768,0.47770700636942676,0.5664362519201229,0.40490797546012275,0.2619047619047619,0.8709677419354839,0.5464669738863288,0.834836978543929,0.5299999999999999,5e-05,0.548828125,0.14720535278320312,44.77483440001379
