epoch,train_loss,train_accuracy,val_loss,val_accuracy_fixed_0_5,val_balanced_accuracy,val_f1,val_sensitivity,val_specificity,val_auroc,val_average_precision,threshold,lr,peak_vram_gib,process_ram_gib,seconds
1,2.074375500305905,0.59375,0.7299927170109597,0.6751592356687898,0.5257217847769029,0.20833333333333334,0.11811023622047244,0.9333333333333333,0.3522309711286089,0.7769761475525567,0.6699999999999999,3.3333333333333335e-05,0.55078125,0.13861846923828125,123.98863320000237
2,2.3778660241514444,0.40625,0.6911177884621226,0.7197452229299363,0.5187664041994751,0.13138686131386862,0.07086614173228346,0.9666666666666667,0.3700787401574803,0.7707889955018262,0.69,6.666666666666667e-05,0.55078125,0.13411331176757812,117.81804000001284
3,1.140583121596137,0.625,0.5791804355041237,0.7961783439490446,0.5118110236220472,0.046153846153846156,0.023622047244094488,1.0,0.4145669291338583,0.7817366112199543,0.83,0.0001,0.55078125,0.14034652709960938,126.47768570002518
