epoch,train_loss,train_accuracy,val_loss,val_accuracy_fixed_0_5,val_balanced_accuracy,val_f1,val_sensitivity,val_specificity,val_auroc,val_average_precision,threshold,lr,peak_vram_gib,process_ram_gib,seconds
1,1.0056313850555965,0.5315581854043393,0.778469330945592,0.21019108280254778,0.5862775217613927,0.4523809523809524,0.30158730158730157,0.8709677419354839,0.5870455709165385,0.853143098501247,0.4499999999999999,3.3333333333333335e-05,0.55078125,0.14810562133789062,406.0285245999985
2,0.7221834346563858,0.5414201183431953,0.6543567662785768,0.732484076433121,0.7204301075268817,0.7741935483870968,0.6666666666666666,0.7741935483870968,0.7578084997439836,0.9313270478601614,0.5099999999999999,6.666666666666667e-05,0.55078125,0.14814376831054688,405.9836245000006
3,0.693765559669077,0.5946745562130178,0.49062547391387307,0.8343949044585988,0.7471838197644649,0.8770491803278689,0.8492063492063492,0.6451612903225806,0.8031233998975934,0.9365084400349005,0.57,0.0001,0.55078125,0.14856338500976562,398.71295440000176
4,0.6562129594459101,0.626232741617357,0.5980816777724369,0.6751592356687898,0.739247311827957,0.8677685950413223,0.8333333333333334,0.6451612903225806,0.7753456221198156,0.9296628728272333,0.38999999999999996,0.0001,0.55078125,0.15060043334960938,386.9546052000005
5,0.6282000972703834,0.6577909270216963,0.5624571763406134,0.732484076433121,0.7437275985663083,0.8412017167381974,0.7777777777777778,0.7096774193548387,0.760752688172043,0.9252338205492985,0.4699999999999999,0.0001,0.55078125,0.1458282470703125,430.9145205999994
