epoch,train_loss,train_accuracy,val_loss,val_accuracy_fixed_0_5,val_balanced_accuracy,val_f1,val_sensitivity,val_specificity,val_auroc,val_average_precision,threshold,lr,peak_vram_gib,process_ram_gib,seconds
1,2.390371303539723,0.4375,1.8447550275386908,0.1987179487179487,0.5,0.8896797153024911,1.0,0.0,0.3621935483870968,0.7145766462912673,0.07,3.3333333333333335e-05,0.548828125,0.13862991333007812,43.85687469999539
2,1.60592305008322,0.53125,1.3730119558481069,0.1987179487179487,0.5994838709677419,0.48235294117647065,0.328,0.8709677419354839,0.5713548387096774,0.8633476711719303,0.19999999999999996,6.666666666666667e-05,0.548828125,0.13724136352539062,46.609579399984796
3,1.377090704627335,0.5,0.6196627004597431,0.8012820512820513,0.6432258064516129,0.6282722513089004,0.48,0.8064516129032258,0.6615483870967742,0.8856518997323634,0.95,0.0001,0.548828125,0.1341552734375,44.41295690002153
4,2.1312498445622623,0.46875,0.9943243326284946,0.1987179487179487,0.6505806451612903,0.7522935779816514,0.656,0.6451612903225806,0.6291612903225806,0.8793994041609317,0.30999999999999994,0.0001,0.548828125,0.13753890991210938,40.347237600013614
5,1.4354871683754027,0.40625,0.9584287729782935,0.1987179487179487,0.5989677419354839,0.6,0.456,0.7419354838709677,0.6067096774193549,0.862061444405906,0.33999999999999997,0.0001,0.548828125,0.13405609130859375,43.6432891000004
6,1.7443119580857456,0.5,0.5921015218855479,0.8012820512820513,0.5929032258064516,0.8921933085501859,0.96,0.22580645161290322,0.5987096774193549,0.8576449527482832,0.9199999999999999,0.0001,0.548828125,0.12768173217773438,47.198021100019105
7,1.192755608819425,0.5,0.7511921952932309,0.23717948717948717,0.5779354838709678,0.7466666666666666,0.672,0.4838709677419355,0.5985806451612903,0.8519061311013442,0.43999999999999995,0.0001,0.548828125,0.127227783203125,49.6525484000158
8,1.3116533244028687,0.4375,1.6595857693598821,0.1987179487179487,0.5988387096774194,0.6256410256410256,0.488,0.7096774193548387,0.635483870967742,0.8636056105242584,0.13,0.0001,0.548828125,0.1268157958984375,42.916181200009305
9,1.2588756862096488,0.5,0.679320942897063,0.5833333333333334,0.6512258064516129,0.6424870466321244,0.496,0.8064516129032258,0.6731612903225805,0.8763744127054155,0.5099999999999999,0.0001,0.548828125,0.13227462768554688,45.57371769999736
10,1.1708939643576741,0.5,0.49888014010129833,0.8012820512820513,0.6009032258064516,0.9003690036900369,0.976,0.22580645161290322,0.587741935483871,0.832767579122039,0.72,0.0001,0.548828125,0.13013076782226562,44.83429410000099
