epoch,train_loss,train_accuracy,val_loss,val_accuracy_fixed_0_5,val_balanced_accuracy,val_f1,val_sensitivity,val_specificity,val_auroc,val_average_precision,threshold,lr,peak_vram_gib,process_ram_gib,seconds
1,1.58076673540927,0.5625,0.4771068849653568,0.8050314465408805,0.6433971774193548,0.7222222222222223,0.609375,0.6774193548387096,0.6697328629032259,0.891649354522994,0.84,3.3333333333333335e-05,1.0234375,0.78765869140625,53.11220999999205
2,1.3135547279380262,0.5,1.2328919442194812,0.1949685534591195,0.6556199596774194,0.719626168224299,0.6015625,0.7096774193548387,0.6678427419354839,0.8846234373465932,0.21999999999999997,6.666666666666667e-05,0.564453125,0.176239013671875,54.253844999999274
3,1.023400112055242,0.53125,1.2581582219345764,0.1949685534591195,0.6634324596774194,0.7314814814814815,0.6171875,0.7096774193548387,0.6660786290322581,0.8838243788354965,0.20999999999999996,0.0001,0.564453125,0.14786148071289062,46.65754620000371
4,1.5561291589401662,0.4375,0.9596675683117513,0.23270440251572327,0.6404989919354839,0.6731707317073171,0.5390625,0.7419354838709677,0.6565020161290323,0.8824717159971066,0.32999999999999996,0.0001,0.564453125,0.13825225830078125,62.87072700000135
5,1.3578187339007854,0.5,0.7632684272790106,0.3710691823899371,0.6355846774193548,0.7102803738317758,0.59375,0.6774193548387096,0.6367187500000001,0.8777252344740882,0.41999999999999993,0.0001,0.564453125,0.14023208618164062,55.473300899990136
6,1.0586562287062407,0.5625,1.7717472329829473,0.1949685534591195,0.6179435483870968,0.7652173913043478,0.6875,0.5483870967741935,0.6315524193548387,0.8763603608194365,0.09999999999999999,0.0001,0.564453125,0.1506195068359375,44.389397999999346
7,1.4694999335333705,0.3125,0.5523442766576443,0.8113207547169812,0.6331905241935484,0.6363636363636365,0.4921875,0.7741935483870968,0.643649193548387,0.8772584586097697,0.6399999999999999,0.0001,0.564453125,0.1314849853515625,54.44390620000195
8,0.9879050464369357,0.4375,0.6501214324303393,0.7169811320754716,0.6243699596774194,0.6699029126213591,0.5390625,0.7096774193548387,0.6311743951612903,0.8777345432144857,0.5299999999999999,5e-05,0.564453125,0.13006973266601562,53.46387639999739
9,0.6458170022815466,0.6875,0.7321979497213783,0.3333333333333333,0.6389868951612903,0.7363636363636362,0.6328125,0.6451612903225806,0.6246219758064515,0.8717777240154363,0.4599999999999999,5e-05,0.564453125,0.139739990234375,44.531999099999666
10,0.8771883225999773,0.65625,0.6648722111054186,0.6855345911949685,0.6213457661290323,0.7881355932203391,0.7265625,0.5161290322580645,0.6232358870967742,0.8638703234403842,0.49999999999999994,5e-05,0.564453125,0.14002609252929688,42.413495199987665
