epoch,train_loss,train_accuracy,train_balanced_accuracy,train_auroc,lr,peak_vram_gib,process_ram_gib,seconds
1,2.1053224792703986,0.4375,0.4375,0.49609375,3.3333333333333335e-05,1.0234375,1.3535690307617188,12.11014360000263
2,1.73736230970826,0.5625,0.5625,0.595703125,6.666666666666667e-05,0.548828125,1.2261543273925781,10.45392030000221
3,1.132527326233685,0.53125,0.53125,0.57421875,0.0001,0.548828125,1.1765251159667969,10.202389999991283
