epoch,train_loss,train_accuracy,val_loss,val_accuracy_fixed_0_5,val_balanced_accuracy,val_f1,val_sensitivity,val_specificity,val_auroc,val_average_precision,threshold,lr,peak_vram_gib,process_ram_gib,seconds
1,1.1172482557594776,0.625,1.1366012201369184,0.1949685534591195,0.5696824596774194,0.5729166666666666,0.4296875,0.7096774193548387,0.544984879032258,0.8058872659734966,0.30999999999999994,3.3333333333333335e-05,1.0234375,0.9870719909667969,51.4819095999992
2,1.5305068120360374,0.625,0.6681053672196731,0.8050314465408805,0.6819556451612903,0.7965367965367965,0.71875,0.6451612903225806,0.6485635080645161,0.8728744918401243,0.95,6.666666666666667e-05,0.548828125,0.6940879821777344,48.2939908999997
3,2.8446862045675516,0.375,0.9010516627627255,0.8050314465408805,0.5,0.89198606271777,1.0,0.0,0.6471774193548387,0.867170413259146,0.49999999999999994,0.0001,0.548828125,0.4078712463378906,48.366206700000475
