epoch,train_loss,train_accuracy,val_loss,val_accuracy_fixed_0_5,val_balanced_accuracy,val_f1,val_sensitivity,val_specificity,val_auroc,val_average_precision,threshold,lr,peak_vram_gib,process_ram_gib,seconds
1,0.9753816551893101,0.5257425742574258,0.6980913094004745,0.4968553459119497,0.5907258064516129,0.5274725274725275,0.375,0.8064516129032258,0.6082409274193549,0.8801231893885268,0.5099999999999999,3.3333333333333335e-05,1.0234375,0.15457916259765625,491.44837429999825
2,0.7255336536629365,0.5534653465346535,0.8311207748059207,0.3270440251572327,0.6547379032258065,0.5683060109289618,0.40625,0.9032258064516129,0.6867439516129031,0.9094668881050089,0.41999999999999993,6.666666666666667e-05,0.564453125,0.14769744873046875,378.4333996000023
3,0.6646653711205662,0.594059405940594,0.47476377689613486,0.7547169811320755,0.7055191532258065,0.6632653061224489,0.5078125,0.9032258064516129,0.7380292338709677,0.9302046374684418,0.73,0.0001,0.564453125,0.14212799072265625,379.1461447999973
4,0.6182161704295933,0.6673267326732674,0.5019399064516871,0.7421383647798742,0.7235383064516129,0.7592592592592593,0.640625,0.8064516129032258,0.7604586693548387,0.936468215999221,0.6,0.0001,0.564453125,0.1448211669921875,415.8551789999983
5,0.578143810680007,0.7019801980198019,0.6743175753819868,0.5723270440251572,0.7299647177419355,0.65625,0.4921875,0.967741935483871,0.7634828629032259,0.9383175338536037,0.48999999999999994,0.0001,0.564453125,0.14006805419921875,382.1555307000017
