epoch,train_loss,train_acc,val_loss,val_acc,lr
1,0.3081518425260271,0.49857142857142855,1.0572332061570267,0.19540229885057472,0.005
2,0.28368977180549076,0.5,0.8033642549624388,0.19540229885057472,0.005
3,0.25936199520315445,0.55,0.8227725028991699,0.6436781609195402,0.005
4,0.2075371607712337,0.7,0.7107732748163158,0.6091954022988506,0.005
5,0.23420958614775111,0.6785714285714286,1.0173322853000684,0.47126436781609193,0.005
6,0.18817271555108683,0.7357142857142858,0.7883442845837824,0.6091954022988506,0.005
7,0.19640936496002334,0.73,1.103074536926445,0.5057471264367817,0.005
8,0.16813533799456698,0.76,0.6044404945154299,0.735632183908046,0.005
9,0.16134921274014882,0.7957142857142857,0.6321356597988085,0.7586206896551724,0.005
10,0.14315142550638743,0.8028571428571428,1.0608325614326302,0.5632183908045977,0.005
11,0.1276796605810523,0.7928571428571428,0.87925586104393,0.7126436781609196,0.005
12,0.14159532898238728,0.7757142857142857,0.7477513216007715,0.7126436781609196,0.005
13,0.1522800510576261,0.7957142857142857,0.43660078309048184,0.8505747126436781,0.005
14,0.1270232092655663,0.8171428571428572,0.8134489953517914,0.6896551724137931,0.005
15,0.12446848335010664,0.8128571428571428,0.9555758809906313,0.7011494252873564,0.005
16,0.13356848817717817,0.8042857142857143,0.7398465402509974,0.7011494252873564,0.005
17,0.1077144812606275,0.8314285714285714,0.7099143376295594,0.7126436781609196,0.005
18,0.11419561399413007,0.8142857142857143,1.016278886932066,0.6666666666666666,0.005
19,0.08942792719895286,0.8385714285714285,0.6345487538425402,0.7701149425287356,0.0025
