epoch,train_loss,train_acc,val_loss,val_acc,val_f1,val_sens,val_spec,lr
1,1.7378557068154195,0.8414285714285714,0.03647513414362364,0.9655172413793104,0.9781021897810219,0.9571428571428572,1.0,0.005
2,0.014701786387952,0.99,0.03139648924199834,0.9655172413793104,0.9781021897810219,0.9571428571428572,1.0,0.005
3,0.010998272390586407,0.99,0.012833724876425113,0.9885057471264368,0.9928057553956835,0.9857142857142858,1.0,0.005
4,0.00907748317396194,0.9942857142857143,0.012061071202310428,0.9885057471264368,0.9928057553956835,0.9857142857142858,1.0,0.005
5,0.011510102468136673,0.9928571428571429,0.026934221711779484,0.9655172413793104,0.9781021897810219,0.9571428571428572,1.0,0.005
6,0.005511484480321986,0.9928571428571429,0.021420308259218607,0.9885057471264368,0.9928057553956835,0.9857142857142858,1.0,0.005
7,0.0065232522405031645,0.9928571428571429,0.026420567509404407,0.9885057471264368,0.9928057553956835,0.9857142857142858,1.0,0.005
8,0.011000655910564573,0.9928571428571429,0.0057389093407457905,0.9885057471264368,0.9928057553956835,0.9857142857142858,1.0,0.005
9,0.0020284700754645865,0.9985714285714286,0.01537292312756706,0.9885057471264368,0.9928057553956835,0.9857142857142858,1.0,0.0025
10,0.0032767773105122798,0.9957142857142857,0.004132360456721431,0.9885057471264368,0.9928057553956835,0.9857142857142858,1.0,0.0025
11,0.001248818012302471,0.9985714285714286,0.0013638141940224612,1.0,1.0,1.0,1.0,0.0025
12,0.000634199726876789,1.0,0.0023141669709525843,0.9885057471264368,0.9928057553956835,0.9857142857142858,1.0,0.0025
13,0.0010768380999735022,1.0,0.0002990641951086853,1.0,1.0,1.0,1.0,0.0025
14,0.0006223132845752843,0.9985714285714286,0.00010361187619066128,1.0,1.0,1.0,1.0,0.0025
