epoch,train_loss,train_accuracy,val_loss,val_accuracy_fixed_0_5,val_balanced_accuracy,val_f1,val_sensitivity,val_specificity,val_auroc,threshold,predicted_positive_rate,lr,peak_vram_gib,process_ram_gib,seconds
1,1.7157377246330725,0.453125,1.5088034949519418,0.20454545454545456,0.5904761904761904,0.6428571428571428,0.5142857142857142,0.6666666666666666,0.5722222222222223,0.15999999999999998,0.4772727272727273,3.3333333333333335e-05,1.0234375,1.4897384643554688,58.099181499999986
2,1.1722483206540346,0.5078125,0.7404326620427045,0.32954545454545453,0.6833333333333333,0.7839999999999999,0.7,0.6666666666666666,0.6650793650793652,0.43999999999999995,0.625,6.666666666666667e-05,0.548828125,1.4902267456054688,57.54045270000006
3,1.0492690830142237,0.46875,0.498108527877114,0.7954545454545454,0.6865079365079365,0.896551724137931,0.9285714285714286,0.4444444444444444,0.7400793650793651,0.73,0.8522727272727273,0.0001,0.548828125,1.4903717041015625,57.95233980000012
4,0.8408887309487909,0.515625,0.712405879389156,0.3977272727272727,0.692063492063492,0.8529411764705883,0.8285714285714286,0.5555555555555556,0.7250000000000001,0.43999999999999995,0.75,0.0001,0.548828125,1.490203857421875,57.636057500000106
5,0.7254465892910957,0.53125,0.6263553845611486,0.7727272727272727,0.6642857142857144,0.8467153284671534,0.8285714285714286,0.5,0.7047619047619047,0.5299999999999999,0.7613636363636364,0.0001,0.548828125,1.4218978881835938,56.894812
6,0.6416699958499521,0.65625,0.7714947495948185,0.23863636363636365,0.7261904761904762,0.8396946564885497,0.7857142857142857,0.6666666666666666,0.7892857142857143,0.4099999999999999,0.6931818181818182,0.0001,0.548828125,1.3730087280273438,57.75966119999998
7,0.7403234562370926,0.546875,0.6690625609322027,0.5568181818181818,0.7317460317460318,0.7868852459016394,0.6857142857142857,0.7777777777777778,0.7718253968253969,0.4799999999999999,0.5909090909090909,0.0001,0.548828125,1.2317848205566406,57.0438036999999
8,0.7049950212240219,0.5625,0.7080649943514303,0.4431818181818182,0.7571428571428571,0.6792452830188679,0.5142857142857142,1.0,0.7674603174603175,0.4599999999999999,0.4090909090909091,0.0001,0.548828125,1.0562248229980469,57.39378569999985
9,0.7135076127015054,0.5,0.6683070835742083,0.5909090909090909,0.6904761904761905,0.7936507936507937,0.7142857142857143,0.6666666666666666,0.7587301587301587,0.4699999999999999,0.6363636363636364,0.0001,0.548828125,0.9031829833984375,57.325013500000296
10,0.7125944481231272,0.53125,0.588632382452488,0.8068181818181818,0.7317460317460318,0.7868852459016394,0.6857142857142857,0.7777777777777778,0.7845238095238095,0.5399999999999999,0.5909090909090909,0.0001,0.548828125,0.8315277099609375,57.91181689999985
