epoch,train_loss,train_accuracy,val_loss,val_accuracy_fixed_0_5,val_balanced_accuracy,val_f1,val_sensitivity,val_specificity,val_auroc,threshold,predicted_positive_rate,lr,peak_vram_gib,process_ram_gib,seconds
1,2.3351301131770015,0.5625,1.852073302323168,0.20454545454545456,0.596031746031746,0.5631067961165049,0.4142857142857143,0.7777777777777778,0.5781746031746031,0.09999999999999999,0.375,3.3333333333333335e-05,1.0234375,0.4268989562988281,39.110535199999504
2,1.4604215938597918,0.625,0.5063002314418554,0.7954545454545454,0.6055555555555556,0.7058823529411764,0.6,0.6111111111111112,0.6003968253968254,0.74,0.5568181818181818,6.666666666666667e-05,0.548828125,0.19123458862304688,34.07541339999989
3,1.0424625723389909,0.5625,0.5138492614708163,0.7954545454545454,0.5952380952380952,0.8450704225352113,0.8571428571428571,0.3333333333333333,0.590079365079365,0.83,0.8181818181818182,0.0001,0.548828125,0.13934707641601562,30.7472656000009
