epoch,train_loss,train_accuracy,train_balanced_accuracy,train_auroc,lr,peak_vram_gib,process_ram_gib,seconds
1,0.9561529841162205,0.5134281200631912,0.5134281200631912,0.5088497562947822,3.3333333333333335e-05,1.0234375,0.6805763244628906,409.80226649998804
2,0.6693147118151846,0.5971563981042654,0.5971563981042654,0.6467310058424365,6.666666666666667e-05,0.548828125,0.176422119140625,402.44623890001094
3,0.6768358687959952,0.617693522906793,0.617693522906793,0.6565129065185219,0.0001,0.548828125,0.16888809204101562,401.25965580000775
4,0.5979987845048426,0.6737756714060031,0.6737756714060031,0.7419008258275122,0.0001,0.548828125,0.16414260864257812,405.01759019997553
5,0.6069408458956234,0.6777251184834123,0.6777251184834123,0.731782005495534,0.0001,0.548828125,0.1703033447265625,402.8696789999958
