epoch,train_loss,train_accuracy,val_loss,val_accuracy_fixed_0_5,val_balanced_accuracy,val_f1,val_sensitivity,val_specificity,val_auroc,val_average_precision,threshold,lr,peak_vram_gib,process_ram_gib,seconds
1,1.023437502138499,0.5128458498023716,0.8481126131525465,0.25477707006369427,0.7034120734908136,0.8138528138528138,0.7401574803149606,0.6666666666666666,0.7402887139107612,0.9133762534611689,0.33999999999999997,3.3333333333333335e-05,1.01171875,0.1720428466796875,348.2443346000073
2,0.6997802242960619,0.5830039525691699,0.6743824686973717,0.5732484076433121,0.7564304461942257,0.8461538461538461,0.7795275590551181,0.7333333333333333,0.7826771653543306,0.9262583932537228,0.36999999999999994,6.666666666666667e-05,0.564453125,0.1654815673828125,347.3295853000018
3,0.6493448143154972,0.616600790513834,0.6271887421607971,0.6178343949044586,0.7749343832020997,0.8161434977578474,0.7165354330708661,0.8333333333333334,0.7997375328083989,0.9317386258870921,0.43999999999999995,0.0001,0.564453125,0.15226364135742188,347.2916775000049
4,0.6499494799953911,0.6116600790513834,0.5138454320514279,0.7515923566878981,0.7906824146981628,0.8370044052863436,0.7480314960629921,0.8333333333333334,0.8158792650918635,0.9359251695601989,0.4799999999999999,0.0001,0.564453125,0.15179443359375,347.7899293000228
5,0.5988697588163991,0.6778656126482213,0.4497946580029597,0.7961783439490446,0.8103674540682415,0.8620689655172413,0.7874015748031497,0.8333333333333334,0.825721784776903,0.937488179696283,0.5099999999999999,0.0001,0.564453125,0.15296554565429688,348.58733110001776
