epoch,train_loss,train_accuracy,val_loss,val_accuracy_fixed_0_5,val_balanced_accuracy,val_f1,val_sensitivity,val_specificity,val_auroc,val_average_precision,threshold,lr,peak_vram_gib,process_ram_gib,seconds
1,1.356972690047733,0.5069169960474308,0.9400541756138112,0.20125786163522014,0.5158710629921259,0.11764705882352941,0.06299212598425197,0.96875,0.3654035433070866,0.7652676707400095,0.3999999999999999,3.3333333333333335e-05,1.0234375,0.16487884521484375,355.6867069999862
2,0.7804432528704522,0.508893280632411,0.5839116292179756,0.7987421383647799,0.6395177165354331,0.7844827586206896,0.7165354330708661,0.5625,0.65748031496063,0.8933686850375288,0.59,6.666666666666667e-05,0.564453125,0.1760406494140625,349.5996629000001
3,0.717998339253452,0.541501976284585,0.7192643239813031,0.48427672955974843,0.7130905511811023,0.6965174129353234,0.5511811023622047,0.875,0.7391732283464567,0.9168406646302165,0.4699999999999999,0.0001,0.564453125,0.15134048461914062,349.2004994000017
4,0.6651216428211555,0.6136363636363636,0.6365912785320162,0.610062893081761,0.6738435039370079,0.6530612244897959,0.5039370078740157,0.84375,0.6996801181102362,0.901652548732232,0.5599999999999999,0.0001,0.564453125,0.1535186767578125,348.73139540001284
5,0.6123673348768573,0.6689723320158103,0.6646546703652016,0.6163522012578616,0.6547736220472441,0.7314814814814814,0.6220472440944882,0.6875,0.6633858267716535,0.8876164717322608,0.4799999999999999,0.0001,0.564453125,0.15069198608398438,350.67282909998903
