epoch,train_loss,train_accuracy,val_loss,val_accuracy_fixed_0_5,val_balanced_accuracy,val_f1,val_sensitivity,val_specificity,val_auroc,val_average_precision,threshold,lr,peak_vram_gib,process_ram_gib,seconds
1,1.2024586185758868,0.5029527559055118,0.7273594767619402,0.3141025641025641,0.6744516129032259,0.8034934497816593,0.736,0.6129032258064516,0.6855483870967742,0.8875460042143563,0.4499999999999999,3.3333333333333335e-05,1.0234375,0.4966621398925781,353.34810470000957
2,0.776345532739491,0.5216535433070866,0.6604980367880601,0.6346153846153846,0.6628387096774193,0.7298578199052134,0.616,0.7096774193548387,0.7280000000000001,0.9177673952925839,0.49999999999999994,6.666666666666667e-05,0.548828125,0.16123199462890625,358.17368429999624
3,0.7047912098291352,0.5590551181102362,0.6626896180021458,0.5384615384615384,0.7596129032258064,0.751219512195122,0.616,0.9032258064516129,0.8264516129032259,0.9532952831856243,0.4699999999999999,0.0001,0.548828125,0.14466094970703125,355.02860810000857
4,0.624563704824119,0.6446850393700787,0.7278544656359233,0.4551282051282051,0.7587096774193548,0.8749999999999999,0.84,0.6774193548387096,0.8010322580645162,0.9389741679152712,0.3499999999999999,0.0001,0.548828125,0.14925003051757812,350.62675460000173
5,0.6265593895351323,0.656496062992126,0.5411333092130147,0.7628205128205128,0.7954838709677419,0.8219178082191781,0.72,0.8709677419354839,0.8618064516129033,0.9634933755997172,0.5199999999999999,0.0001,0.548828125,0.15131378173828125,353.98171629999706
